"","Points","Cost","Name","Position"
"1","0.59","$3300","Alan Quine","C"
"2","0.6","$3000","Colton Sissons","C"
"3","1.45","$3400","Calle Jarnkrok","C"
"4","2.83","$6400","Tyler Johnson","C"
"5","2.68","$6200","Ryan Johansen","C"
"6","1.28","$3000","Casey Cizikas","C"
"7","3.33","$9500","John Tavares","C"
"8","1.09","$3100","Mike Santorelli","C"
"9","1.24","$3700","Brian Boyle","C"
"10","0.76","$0","Cody Bass","C"
"11","0.72","$3300","Nate Thompson","C"
"12","2.46","$5600","Frans Nielsen","C"
"13","3.22","$7600","Ryan Getzlaf","C"
"14","1.48","$3300","Valtteri Filppula","C"
"15","2.96","$6800","Ryan Kesler","C"
"16","0.84","$3000","Paul Gaustad","C"
"17","2.23","$3900","Mike Ribeiro","C"
"18","1.42","$3000","Mike Fisher","C"
"19","1.22","$3200","Shane Prince","LW"
"20","1.8","$4500","Jonathan Drouin","LW"
"21","0.99","$3000","Cedric Paquette","LW"
"22","1.85","$4300","Brock Nelson","LW"
"23","2.16","$3800","Vladislav Namestnikov","LW"
"24","0.73","$3000","Austin Watson","LW"
"25","2.41","$5300","Rickard Rakell","LW"
"26","2.46","$5600","Ondrej Palat","LW"
"27","2.33","$5900","Alex Killorn","LW"
"28","1.63","$0","Jon Audy-Marchessault","LW"
"29","1.89","$4000","Colin Wilson","LW"
"30","1.38","$3200","Matt Martin","LW"
"31","0.8","$3200","Nikolai Kulemin","LW"
"32","2.13","$5700","David Perron","LW"
"33","0.62","$3000","Eric Nystrom","LW"
"34","0.99","$3400","Shawn Horcoff","LW"
"35","0.06","$3000","Eric Boulton","LW"
"36","0.79","$0","Joel Vermin","RW"
"37","1.21","$3000","Viktor Arvidsson","RW"
"38","0.7","$3100","Chris Wagner","RW"
"39","1.07","$3700","Ryan Strome","RW"
"40","4.2","$8200","Nikita Kucherov","RW"
"41","1.97","$6200","Jakob Silfverberg","RW"
"42","3.39","$7700","Filip Forsberg","RW"
"43","0.98","$3200","Ryan Garbutt","RW"
"44","0.89","$3100","Erik Condra","RW"
"45","2.32","$4200","Chris Stewart","RW"
"46","3.63","$7200","James Neal","RW"
"47","1.9","$4500","Jamie McGinn","RW"
"48","2.5","$7000","Kyle Okposo","RW"
"49","1.51","$4300","Andrew Cogliano","RW"
"50","1.15","$3000","Cal Clutterbuck","RW"
"51","1.7","$4500","Ryan Callahan","RW"
"52","3.59","$6500","Corey Perry","RW"
"53","1.12","$3100","Steve Bernier","RW"
"54","1.59","$3000","Shea Theodore","D"
"55","0.56","$3300","Adam Pelech","D"
"56","1.06","$3000","Anthony Bitetto","D"
"57","0.96","$3100","Nikita Nesterov","D"
"58","0.46","$3000","Scott Mayfield","D"
"59","1.95","$4900","Hampus Lindholm","D"
"60","0.83","$3000","Petter Granberg","D"
"61","2.48","$5200","Sami Vatanen","D"
"62","0.54","$3100","Andrej Sustr","D"
"63","0.81","$3500","Thomas Hickey","D"
"64","2.67","$5500","Roman Josi","D"
"65","1.33","$4300","Ryan Ellis","D"
"66","1.48","$4000","Mattias Ekholm","D"
"67","0.82","$3000","Simon Despres","D"
"68","1.05","$3000","Calvin de Haan","D"
"69","0.01","$3000","Matt Taormina","D"
"70","1.26","$4200","Nick Leddy","D"
"71","0.46","$3000","Korbinian Holzer","D"
"72","1.32","$3200","Travis Hamonic","D"
"73","1.99","$3600","Cam Fowler","D"
"74","1.16","$0","Clayton Stoner","D"
"75","2.22","$5700","Victor Hedman","D"
"76","0.98","$3200","Jason Garrison","D"
"77","1.84","$3900","Johnny Boychuk","D"
"78","2.64","$5700","Shea Weber","D"
"79","0.93","$3000","Braydon Coburn","D"
"80","0.85","$3400","Matt Carle","D"
"81","1.05","$3400","Kevin Bieksa","D"
"82","1.18","$3500","Marek Zidlicky","D"
"83","0.9","$3000","Barret Jackman","D"
"84","4.42","$8300","Pekka Rinne","G"
"85","5.17","$9600","Thomas Greiss","G"
"86","4.19","$10200","Ben Bishop","G"
"87","4.1","$9500","Frederik Andersen","G"
