"","Points","Cost","Name","Position"
"1","10.03","$3300","Adrian Gonzalez","1B"
"2","13.01","$4600","Anthony Rizzo","1B"
"3","8.81","$2200","Billy Butler","1B"
"4","10.89","$3000","Brandon Moss","1B"
"5","7.6","$3400","Chris Carter","1B"
"6","11.77","$4100","Chris Davis","1B"
"7","13.08","$3500","David Ortiz","1B"
"8","10.68","$2700","Freddie Freeman","1B"
"9","11.18","$2900","Hanley Ramirez","1B"
"10","13.68","$3600","John Jaso","1B"
"11","11.08","$3600","Miguel Cabrera","1B"
"12","12.1","$4600","Paul Goldschmidt","1B"
"13","10.44","$2200","Ryan Howard","1B"
"14","14.13","$2700","Ryan Zimmerman","1B"
"15","8.58","$2200","Yonder Alonso","1B"
"16","11.79","$3200","Jose Abreu","1B"
"17","8.31","$2200","Justin Bour","1B"
"18","10.1","$2900","Ben Paulsen","1B"
"19","11.76","$3100","Ben Zobrist","2B"
"20","8.86","$2700","Brett Lawrie","2B"
"21","8.28","$2900","Chase Utley","2B"
"22","10.13","$3600","Daniel Murphy","2B"
"23","10.12","$3300","Dee Gordon","2B"
"24","9.89","$3300","DJ LeMahieu","2B"
"25","9.86","$3500","Dustin Pedroia","2B"
"26","11.92","$3800","Ian Kinsler","2B"
"27","8.7","$2400","Jed Lowrie","2B"
"28","13.18","$3900","Josh Harrison","2B"
"29","8.31","$2300","Cesar Hernandez","2B"
"30","10.08","$2200","Jonathan Schoop","2B"
"31","8.54","$2000","Daniel Castro","2B"
"32","6.2","$2200","Aaron Hill","3B"
"33","10.7","$2300","Andres Blanco","3B"
"34","13.24","$2400","Chris Coghlan","3B"
"35","12.17","$3500","David Freese","3B"
"36","9.1","$2800","Justin Turner","3B"
"37","8.35","$2000","Kelly Johnson","3B"
"38","12.64","$4100","Matt Carpenter","3B"
"39","11.52","$4000","Todd Frazier","3B"
"40","12.88","$4300","Manny Machado","3B"
"41","11.02","$2700","Anthony Rendon","3B"
"42","11.82","$5200","Nolan Arenado","3B"
"43","9","$2200","Derek Dietrich","3B"
"44","7.9","$2700","Nick Castellanos","3B"
"45","10.46","$3000","Jake Lamb","3B"
"46","10.08","$3500","Maikel Franco","3B"
"47","12.41","$4400","Kris Bryant","3B"
"48","8.74","$3000","Travis Shaw","3B"
"49","9.57","$2200","Adonis Garcia","3B"
"50","8.04","$2300","Brandon Drury","3B"
"51","11.44","$2200","Danny Espinosa","SS"
"52","8.04","$2100","Erick Aybar","SS"
"53","7.37","$2800","J.J. Hardy","SS"
"54","9.52","$2900","Jimmy Rollins","SS"
"55","7.45","$2100","Jose Iglesias","SS"
"56","10.96","$3700","Jordy Mercer","SS"
"57","8.49","$3400","Jean Segura","SS"
"58","6.52","$2000","Adeiny Hechavarria","SS"
"59","9.19","$2300","Jedd Gyorko","SS"
"60","8.96","$2700","Jonathan Villar","SS"
"61","10.9","$3900","Xander Bogaerts","SS"
"62","8.81","$2700","Marcus Semien","SS"
"63","7.24","$2100","Nick Ahmed","SS"
"64","8.13","$2500","Cristhian Adames","SS"
"65","9.52","$3000","Addison Russell","SS"
"66","10.75","$4000","Corey Seager","SS"
"67","6.18","$2000","Yadiel Rivera","SS"
"68","8.77","$3300","Aledmys Diaz","SS"
"69","11.29","$2600","Adam Jones","OF"
"70","17.33","$5000","Andrew McCutchen","OF"
"71","7.16","$2400","Austin Jackson","OF"
"72","8.92","$2300","Carl Crawford","OF"
"73","12.27","$3900","Carlos Gonzalez","OF"
"74","9.22","$2500","Coco Crisp","OF"
"75","12.18","$4100","Dexter Fowler","OF"
"76","7.54","$2200","Drew Stubbs","OF"
"77","11.82","$3500","Gerardo Parra","OF"
"78","13.01","$2900","J.D. Martinez","OF"
"79","12.74","$3500","Jason Heyward","OF"
"80","10.93","$2900","Jayson Werth","OF"
"81","10.32","$2300","Jeff Francoeur","OF"
"82","12.14","$3500","Josh Reddick","OF"
"83","9.23","$2800","Justin Upton","OF"
"84","9.79","$3800","Mark Trumbo","OF"
"85","7.76","$3200","Melky Cabrera","OF"
"86","8.68","$3000","Nick Markakis","OF"
"87","8.11","$2300","Nolan Reimold","OF"
"88","7","$2000","Peter Bourjos","OF"
"89","11.91","$3100","Adam Eaton","OF"
"90","12.43","$5700","Bryce Harper","OF"
"91","10.99","$4700","Giancarlo Stanton","OF"
"92","9.9","$2200","Kirk Nieuwenhuis","OF"
"93","8.62","$2100","Anthony Gose","OF"
"94","16.04","$4600","Starling Marte","OF"
"95","8.89","$3000","Brandon Barnes","OF"
"96","7.33","$2100","David Lough","OF"
"97","7.74","$2700","Avisail Garcia","OF"
"98","10.07","$2900","Brock Holt","OF"
"99","9.32","$2700","Jackie Bradley","OF"
"100","11.49","$2700","Khristopher Davis","OF"
"101","9.1","$2700","Marcell Ozuna","OF"
"102","8.57","$3300","Yasiel Puig","OF"
"103","9.25","$3500","Christian Yelich","OF"
"104","8.26","$2400","Jorge Soler","OF"
"105","13.83","$3200","Randal Grichuk","OF"
"106","11.04","$3400","David Peralta","OF"
"107","11.73","$3900","Gregory Polanco","OF"
"108","15.97","$4500","Mookie Betts","OF"
"109","9.24","$2600","Domingo Santana","OF"
"110","10.21","$2500","Michael Taylor","OF"
"111","8.2","$2800","Joc Pederson","OF"
"112","8.43","$3900","Yasmany Tomas","OF"
"113","10.71","$3500","Odubel Herrera","OF"
"114","6.45","$2000","Ramon Flores","OF"
"115","12.37","$3400","Stephen Piscotty","OF"
"116","9.41","$2500","Joey Rickard","OF"
"117","10.68","$3200","Jeremy Hazelbaker","OF"
"118","25.86","$6900","Anibal Sanchez","P"
"119","2.64","$0","Francisco Rodriguez","P"
"120","40.11","$12900","Jake Arrieta","P"
"121","21.69","$6000","Jhoulys Chacin","P"
"122","20.58","$6300","John Danks","P"
"123","25.74","$6800","Juan Nicasio","P"
